latin	name	Type	blood	blood_reference	sputum	sputum_reference	CSF	CSF_reference	urine	urine_reference
Streptococcus_orisratti	鼠口腔链球菌	bacteria	none	none	none	none	none	none	none	none
Streptococcus_sanguinis	血链球菌	bacteria	口腔常见菌群，可通过口腔手术进入血液，是引起细菌性心内膜炎常见的病原体。	Paik S, Senty L, Das S, et al. Identification of virulence determinants for endocarditis in Streptococcus sanguinis by signature-tagged mutagenesis. Infect Immun. 2005 Sep; 73(9): 6064-74.	none	none	none	none	none	none
Acinetobacter_baumannii	鲍曼不动杆菌	bacteria	机会致病菌，是医院感染的重要病原菌，常见感染包括呼吸道感染、尿路感染、皮肤和伤口感染、心内膜炎、脑膜炎和败血症等。	Antunes LC, Visca P, Towner KJ. Acinetobacter baumannii: evolution of a global pathogen. Pathog Dis. 2014 Aug; 71(3): 292-301.	none	none	none	none	none	none
Acinetobacter_calcoaceticus	乙酸钙不动杆菌	bacteria	机会致病菌，免疫力低下的情况下可引起感染如呼吸道感染、尿路感染、皮肤感染、伤口感染、心内膜炎、脑膜炎和败血症等。	De Vos D, Pirnay JP, Bilocq F, et al. Molecular Epidemiology and Clinical Impact of Acinetobacter calcoaceticus-baumannii Complex in a Belgian Burn Wound Center. PLoS One. 2016 May 25; 11(5): e0156237.	none	none	none	none	none	none
Acinetobacter_junii	琼氏不动杆菌	bacteria	机会致病菌，与院内感染有关，常见感染有导管相关的血流感染和蜂窝织炎，有报道其还可引起败血症、角膜溃疡。	Henao-Martínez AF, González-Fontal GR, Johnson S. A case of community-acquired Acinetobacter junii-johnsonii cellulitis. Biomedica. 2012 Jun; 32(2): 179-81.	none	none	none	none	none	none
Acinetobacter_lwoffii	洛菲不动杆菌	bacteria	洛菲不动杆菌是正常皮肤菌群，为机会致病菌，特别是在免疫缺陷患者中引起导管相关性感染，可引起菌血症、肠胃炎和腹膜炎等。	Regalado NG, Martin G, Antony SJ. Acinetobacter lwoffii: bacteremia associated with acute gastroenteritis. Travel Med Infect Dis. 2009 Sep; 7(5): 316-7.	none	none	none	none	none	none
Acinetobacter_haemolyticus	溶血不动杆菌	bacteria	机会致病菌，肠道中某些特定菌株可产生志贺毒素，引起血性腹泻。有报道与血性腹泻有关。	Grotiuz G, Sirok A, Gadea P, et al. Shiga toxin 2-producing Acinetobacter haemolyticus associated with a case of bloody diarrhea. J Clin Microbiol. 2006 Oct; 44(10): 3838-41.	none	none	none	none	none	none
Acinetobacter_johnsonii	约氏不动杆菌	bacteria	none	none	none	none	none	none	none	none
Acinetobacter_parvus	细小不动杆菌	bacteria	none	none	none	none	none	none	none	none
Acinetobacter_tjernbergiae	谢氏不动杆菌	bacteria	none	none	none	none	none	none	none	none
Acinetobacter_schindleri	申氏不动杆菌	bacteria	none	none	none	none	none	none	none	none
Acinetobacter_towneri	汤氏不动杆菌	bacteria	none	none	none	none	none	none	none	none
Burkholderia_cenocepacia	新洋葱伯克霍尔德菌	bacteria	机会致病菌，通常引起囊性纤维化和慢性肉芽肿病，在囊性纤维化患者中，可导致“洋葱伯克氏菌综合症”，表现为发烧，支气管肺炎，体重减轻等。	Drevinek P, Mahenthiralingam E. Burkholderia cenocepacia in cystic fibrosis: epidemiology and molecular mechanisms of virulence. Clin Microbiol Infect. 2010 Jul; 16(7): 821-30.	none	none	none	none	none	none
Burkholderia_cepacia	洋葱伯克霍尔德菌	bacteria	院内感染的病原菌，主要引起菌血症、尿路感染、化脓性关节炎、脑膜炎和呼吸道感染，还可引起遗传性囊性纤维化和慢性肉芽肿患者的感染。	Mahenthiralingam E, Urban TA, Goldberg JB. The multifarious, multireplicon Burkholderia cepacia complex. Nat Rev Microbiol. 2005 Feb; 3(2): 144-56.	none	none	none	none	none	none
Burkholderia_pseudomallei	类鼻疽伯克霍尔德菌	bacteria	类鼻疽的病原菌，可通过吸入或损伤的皮肤与污染的水或土壤接触而感染，引起脓毒症。网状内皮组织（如肺、肝、脾和淋巴结）脓肿以及皮肤、软组织、关节和骨的脓肿。	Wuthiekanun V, Peacock SJ. Management of melioidosis. Expert Rev Anti Infect Ther. 2006 Jun; 4(3): 445-55.	none	none	none	none	none	none
Burkholderia_mallei	鼻疽伯克霍尔德菌	bacteria	动物（主要是马、骡和驴）的转型定殖菌，引起动物的鼻疽病，少数情况下可通过人皮肤磨损传播给人。	Whitlock GC, Estes DM, Torres AG. Glanders: off to the races with Burkholderia mallei. FEMS Microbiol Lett. 2007 Dec; 277(2): 115-22.	none	none	none	none	none	none
Burkholderia_gladioli	唐菖蒲伯克霍尔德菌	bacteria	机会致病菌，是院内感染的重要病原体，在囊性纤维化患者中可引起严重的肺部感染，也可引起肉芽肿病患者和免疫损伤患者感染。	Stoyanova M, Pavlina I, Moncheva P.  Biodiversity and Incidence of Burkholderia Species. Biotechnology  Biotechnological Equipment. 2014 Apr; 21 (3): 306–310.	none	none	none	none	none	none
Burkholderia_thailandensis	泰国伯克霍尔德菌	bacteria	很少在人类或动物中引起疾病，有报道可引起类鼻疽，临床表现为败血症、肺部感染等。	Dance DAB, Sarovich D, Price EP, et al. Human Infection with Burkholderia thailandensis, China, 2013. Emerg Infect Dis. 2018 May; 24(5): 953-954.	none	none	none	none	none	none
Burkholderia_multivorans	多噬伯克霍尔德菌	bacteria	感染可引起菌血症、脑膜炎等。	Ho SSC, Nashid N, Waters VJ, et al. Burkholderia multivorans septicemia in a pediatric liver transplant patient. Am J Transplant. 2018 Aug 9.	none	none	none	none	none	none
Burkholderia_glumae	荚壳伯克霍尔德菌	bacteria	none	none	none	none	none	none	none	none
Burkholderia_sprentiae	伯克霍尔德菌	bacteria	none	none	none	none	none	none	none	none
Burkholderia_oxyphila	伯克霍尔德菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_brachy	短真杆菌	bacteria	有引起肺部脓肿的报道。	Yamakawa H, Hagiwara E, Hayashi M, et al. A case of relapsed lung abscess caused by Eubacterium brachy infection following an initial diagnosis of pulmonary actinomycosis. Respir Med Case Rep. 2017 Aug 17; 22: 171-174.	none	none	none	none	none	none
Eubacterium_lentum	迟钝真杆菌	bacteria	有引起皮肤脓肿、脑膜炎等疾病的报道。	Lattuada E, Zorzi A, Lanzafame M, et al. Cutaneous abscess due to Eubacterium lentum in injection drug user: a case report and review of the literature. J Infect. 2005 Aug; 51(2): E71-2.	none	none	none	none	none	none
Eubacterium_limosum	黏液真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_saphenum	隐藏真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_nodatum	纠缠真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_ramulus	细枝真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_rectale	直肠真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_aerofaciens	产气真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_alactolyticum	不解乳真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_contortum	扭曲真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_moniliforme	念珠真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_tenue	纤细真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_timidum	胆怯真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_ventriosum	凸腹真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_tortuosum	缠结真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_combesii	孔氏真杆菌	bacteria	none	none	none	none	none	none	none	none
Eubacterium_nitritogenes	产亚硝酸盐真杆菌	bacteria	none	none	none	none	none	none	none	none
Haemophilus_influenzae	流感嗜血杆菌	bacteria	在上呼吸道的定殖率可达人群的50%，可引起原发性化脓性感染及继发性感染，包括脑膜炎、鼻咽炎、肺炎、关节炎、心包炎、菌血症、支气管炎、中耳炎、鼻窦炎等。	，可引起原发性化脓性感染及继发性感染，包括脑膜炎、鼻咽炎、肺炎、关节炎、心包炎、菌血症、支气管炎、中耳炎、鼻窦炎等。	Duell BL, Su YC, Riesbeck K. Host-pathogen interactions of nontypeable Haemophilus influenzae: from commensal to pathogen. FEBS Lett. 2016 Nov; 590(21): 3840-3853.	none	none	none	none	none	none
Haemophilus_parainfluenzae	副流感嗜血杆菌	bacteria	机会致病菌，可引起心内膜炎、肾炎、泌尿生殖道炎、胆道感染、腹膜炎等多种疾病，并可引起肺炎、支气管炎等下呼吸道感染。	McCann N, Barakat MF, Schafer F. An aggressive form of Haemophilus parainfluenzae infective endocarditis presenting with limb weakness. BMJ Case Rep. 2018 Jun 4; 2018. pii: bcr-2017-223775.	none	none	none	none	none	none
Haemophilus_haemolyticus	溶血嗜血杆菌	bacteria	鼻咽部正常菌群，一般是非致病的，但也有引起心内膜炎的报道。	MILLER, C. PHILIP. subacute bacterial endocarditis due to a hemolytic hemophilic bacillusreport of a case. Arch Intern Med (Chic).  1923;32(6): 911-926.	none	none	none	none	none	none
Haemophilus_parahaemolyticus	副溶血嗜血杆菌	bacteria	口腔、咽部正常菌群，可引起咽炎、化脓性口腔炎和心内膜炎。	Parsons M, Faris I. Empyema of the gallbladder due to Haemophilus parahaemolyticus, with a brief review of its role as a pathogen. J Clin Pathol.  1973 Aug; 26(8): 604–605.	none	none	none	none	none	none
Haemophilus_ducreyi	杜克雷嗜血杆菌	bacteria	感染能够引起性传播疾病软下疳。	Lewis DA. Chancroid: clinical manifestations, diagnosis, and management. Sex Transm Infect.  2003 Feb; 79(1): 68-71.	none	none	none	none	none	none
Haemophilus_aegyptius	埃及嗜血杆菌	bacteria	感染可引起急性、亚急性结膜炎，儿童巴西紫癜热。	Harrison LH, da Silva GA, Pittman M, et al.  Epidemiology and Clinical Spectrum of Brazilian Purpuric Fever.  Brazilian Purpuric Fever Study Group. Journal of Clinical Microbiology. 1989 Apr; 27(4): 599–604.	none	none	none	none	none	none
Haemophilus_aphrophilus	嗜沫嗜血杆菌	bacteria	咽部正常菌群，牙菌斑中常见菌，可引起心内膜炎和脑脓肿。	Patel SR, Patel NH, Borah A, et al. Aggregatibacter aphrophilus pacemaker endocarditis: a case report. BMC Res Notes. 2014 Dec 8; 7: 885.	none	none	none	none	none	none
Haemophilus_paraphrophilus	副嗜沫嗜血杆菌	bacteria	咽部及阴道的正常菌群，可引起亚急性细菌性心内膜炎、甲沟炎、脑脓肿。	Simpson AJ, Das SS, Mitchelmore IJ. Mitchelmore. Polymicrobial brain abscess involving Haemophilus paraphrophilus and Actinomyces odontolyticus. Postgrad Med J. 1996 May; 72(847): 297–298.	none	none	none	none	none	none
Haemophilus_pittmaniae	皮氏嗜血杆菌	bacteria	有引起呼吸道感染的报道。	Boucher MB, Bedotto M, Couderc C, et al. Haemophilus pittmaniae respiratory infection in a patient with siderosis: a case report. J Med Case Rep. 2012 Apr 30; 6:120.	none	none	none	none	none	none
Haemophilus_sputorum	痰嗜血杆菌	bacteria	none	none	none	none	none	none	none	none
Klebsiella_pneumoniae	肺炎克雷伯菌	bacteria	存在于肠道和呼吸道，机会致病菌，当机体免疫力降低时引起感染，可引起典型的原发性肺炎、支气管炎、泌尿道和创伤感染，有时可引起严重的败血症、脑膜炎和腹膜炎等。	Martin RM, Bachman MA. Colonization, Infection, and the Accessory Genome of Klebsiella pneumoniae. Front Cell Infect Microbiol.  2018 Jan 22; 8:4.	none	none	none	none	none	none
Klebsiella_pneumoniae_subsp_ozaenae	肺炎克雷伯菌臭鼻亚种	bacteria	肺炎克雷伯菌臭鼻亚种常引起萎缩性鼻炎（臭鼻症）和鼻粘膜的化脓性感染。	De Champs C, Vellin JF, Diancourt L. Laryngeal Scleroma Associated with Klebsiella pneumoniae subsp. Ozaenae. J Clin Microbiol.  2005 Nov; 43(11): 5811–5813.	none	none	none	none	none	none
Klebsiella_pneumoniae_subsp_rhinoscleromatis	肺炎克雷伯菌鼻硬结亚种	bacteria	肺炎克雷伯菌鼻硬结亚种常引起呼吸道黏膜、口咽部、鼻和鼻旁窦的感染，导致肉芽肿性病变和硬结形成。	Fevre C, Passet V, Deletoile A, et al. PCR-Based Identification of Klebsiella pneumoniae subsp. rhinoscleromatis, the Agent of Rhinoscleroma. PLoS Negl Trop Dis. 2011 May; 5(5): e1052.	none	none	none	none	none	none
Klebsiella_oxytoca	产酸克雷伯菌	bacteria	感染可导致结肠炎和脓毒症。	Högenauer C, Langner C, Beubler E, et al. Klebsiella oxytoca as a causative organism of antibiotic-associated hemorrhagic colitis. N. Engl. J. Med. 2006 Dec 7; 355 (23): 2418–26.	none	none	none	none	none	none
Klebsiella_variicola	变栖克雷伯菌	bacteria	none	none	none	none	none	none	none	none
Nocardia_asteroids	星形诺卡菌	bacteria	星形诺卡菌主要通过呼吸道引起人的原发性及化脓性感染，可出现类似肺结核的症状。肺部病灶转移至皮下组织，可形成脓肿、溃疡和多发性瘘管，扩散到其他器官，可引起脑脓肿和腹膜炎。	Adair JC, Amber IJ, Johnston JM. Peritonsillar abscess caused by Nocardia asteroides. J Clin Microbiol. 1987 Nov; 25(11): 2214-5.	none	none	none	none	none	none
Nocardia_brasiliensis	巴西诺卡菌	bacteria	可引起诺卡菌病，导致肺部（类似肺结核病的症状）、脑部、皮肤及全身散播性感染；可侵入皮下组织，引起慢性化脓性肉芽肿，表现为肿胀、脓肿及多发性瘘管。	Johnson P, Ammar H. Nocardia brasiliensis vertebral osteomyelitis and epidural abscess. BMJ Case Rep. 2013 Apr 11; 2013: bcr2012008400.	none	none	none	none	none	none
Nocardia_farcinia	鼻疽诺卡菌	bacteria	鼻疽诺卡菌感染可引起诺卡菌病，诺卡菌病临床表现包括肺部感染、脑部感染、皮肤感染及全身散播性感染。	Holm P. Seven cases of human nocardiosis caused by Nocardia farcinica. Sabouraudia.  1975 Jul; 13(2): 161-9.	none	none	none	none	none	none
Nocardia_brevicatena	短链诺卡菌	bacteria	none	none	none	none	none	none	none	none
Nocardia_carnea	肉色诺卡菌	bacteria	none	none	none	none	none	none	none	none
Nocardia_vaccinii	越橘诺卡菌	bacteria	none	none	none	none	none	none	none	none
Nocardia_otitidiscabvian	豚鼠耳炎诺卡菌	bacteria	none	none	none	none	none	none	none	none
Nocardia_fransvalensis	南非诺卡菌	bacteria	none	none	none	none	none	none	none	none
Nocardia_amrae	苦味诺卡菌	bacteria	none	none	none	none	none	none	none	none
Nocardia_cyriacigeorgica	盖尔森基兴诺卡菌	bacteria	有引起肺曲霉病患者肺部感染的报道。	Wu J, Wu Y, Zhu Z. Pulmonary infection caused by Nocardia cyriacigeorgica in a patient with allergic bronchopulmonary aspergillosis: A case report. Medicine (Baltimore). 2018 Oct; 97(43): e13023.	none	none	none	none	none	none
Neisseria_meningitidis	脑膜炎奈瑟菌	bacteria	通常定殖在鼻咽部，人群携带率为5%-20%，常见于儿童。该菌是流行性脑脊髓膜炎的病原体，感染对象多为学龄前儿童和青少年，感染后部分患者转变为隐性感染，部分可发展为菌血症，进而引起骨髓炎、关节炎、蜂窝组织炎、心包炎、腹膜炎和眼部感染。人对脑膜炎奈瑟菌有较强的抵抗力，感染后仅有2%-3%概率表现为脑脊髓膜炎，绝大多数为带菌状态。	-20	不等，以儿童携带多见。此菌是流行性脑脊髓膜炎的病原体，感染对象多为学龄前儿童和青少年，感染后部分患者转变为隐性感染，部分可发展为菌血症，进而引起骨髓炎、关节炎、蜂窝组织炎、心包炎、腹膜炎和眼部感染。人类对脑膜炎奈瑟菌有较强的抵抗力，感染后仅有2	-3	表现为脑脊髓膜炎，绝大多数为带菌状态。	Harrison LH. Epidemiological profile of meningococcal disease in the United States. Clin Infect Dis. 2010 Mar 1; 50 Suppl 2: S37-44.	none	none	none	none	none	none
Neisseria_gonorrhoeae	淋病奈瑟菌	bacteria	淋病的病原菌，通常为泌尿生殖道感染，亦可感染口咽部、肛门和直肠。男性感染者可发展为前列腺炎、附睾炎；女性可引起前庭大腺炎、盆腔炎、早产、不育。部分患者还可能发生弥漫性感染，如迁移性关节炎、心内膜炎和脑膜炎等；新生儿可通过患病母亲产道引起淋病性结膜炎。	Chan PA, Robinette A, Montgomery M, et al. Extragenital Infections Caused by Chlamydia trachomatis and Neisseria gonorrhoeae: A Review of the Literature. Infect Dis Obstet Gynecol. 2016; 2016: 5758387.	none	none	none	none	none	none
Neisseria_sicca	干燥奈瑟菌	bacteria	常定殖于鼻咽部黏膜，通常表现为非致病性，但有引起心内膜炎、脑膜炎、结膜炎等病例的报道。	Jeurissen A, Stroy JP, Wielenga RP, et al. Severe infective endocarditis due to Neisseria sicca: case report and review of literature. Acta Clin Belg. 2006 Sep-Oct; 61(5): 256-8.	none	none	none	none	none	none
Neisseria_mucosa	粘液奈瑟菌	bacteria	是定殖于咽喉部的正常菌群，有报道可引起心内膜炎。	Tronel H, Chaudemanche H, Pechier N, et al. Endocarditis due to Neisseria mucosa after tongue piercing. Clin. Microbiol. Infect. 2001 May; 7 (5): 275–6.	none	none	none	none	none	none
Neisseria_subflava	浅黄奈瑟菌	bacteria	定殖于上呼吸道，通常表现为非致病性，但在极少数情况下可引起术后脑膜炎。	Wakui D, Nagashima G, Otsuka Y, et al. A case of meningitis due to Neisseria subflava after ventriculostomy. Journal of Infection and Chemotherapy. 2012 Feb; 18 (1): 115–118.	none	none	none	none	none	none
Neisseria_flavescens	金黄奈瑟菌	bacteria	机会致病菌，常定殖于上呼吸道，可引起脑膜炎、肺炎、败血症和心内膜炎。	Wertlake PT, Williams TW Jr. Septicaemia caused by Neisseria flavescens. J Clin Pathol. 1968 Jul; 21(4):437-9.	none	none	none	none	none	none
Neisseria_cinerea	灰色奈瑟菌	bacteria	定殖在口咽部，有时也定殖在生殖道，通常表现为非致病性，但偶有引起脑膜炎、菌血症、心内膜炎的报道。	von Kietzell M, Richter H, Bruderer T, et al. Meningitis and Bacteremia Due to Neisseria cinerea following a Percutaneous Rhizotomy of the Trigeminal Ganglion. J Clin Microbiol. 2016 Jan; 54(1):233-5.	none	none	none	none	none	none
Neisseria_lactamica	嗜乳糖奈瑟菌	bacteria	none	none	none	none	none	none	none	none
Neisseria_polysaccharea	多糖奈瑟菌	bacteria	none	none	none	none	none	none	none	none
Neisseria_kochii	克氏奈瑟菌	bacteria	none	none	none	none	none	none	none	none
Neisseria_elongata	延长奈瑟菌	bacteria	可引起心内膜炎。	Samannodi M, Vakkalanka S, Zhao A, et al. Neisseria elongata endocarditis of a native aortic valve. BMJ Case Rep. 2016 Feb 25; 2016. pii: bcr2015213311.	none	none	none	none	none	none
Porphyromonas_endodontalis	牙髓卟啉单胞菌	bacteria	主要分布于口腔，也可定殖于泌尿生殖道和肠道。主要引起牙周炎、牙髓炎、根尖周炎等口腔感染，也可引起胸膜炎、阑尾炎和细菌性阴道病。	Lombardo Bedran TB, Marcantonio RA, Spin Neto R, et al. Porphyromonas endodontalis in chronic periodontitis: a clinical and microbiological cross-sectional study. J Oral Microbiol. 2012; 4.	none	none	none	none	none	none
Porphyromonas_gingivalis	牙龈卟啉单胞菌	bacteria	主要分布于口腔，也可存在于泌尿生殖道和肠道。主要引起牙周炎等口腔感染，也有报道其与类风湿性关节炎有关。	Naito M, Hirakawa H, Yamashita A, et al. Determination of the Genome Sequence of Porphyromonas gingivalis Strain ATCC 33277 and Genomic Comparison with Strain W83 Revealed Extensive Genome Rearrangements in P. gingivalis. DNA Res. 2008 Aug; 15 (4): 215–25.	none	none	none	none	none	none
Porphyromonas_asaccharolytica	不解糖卟啉单胞菌	bacteria	不能独立感染，但为口腔、泌尿生殖系统和腹内脓肿混合感染致病菌群的重要组成部分。	Jover-Díaz F, Cuadrado JM, Laveda R, et al. Porphyromonas asaccharolytica liver abscess. Anaerobe. 2003 Apr; 9(2): 87-9.	none	none	none	none	none	none
Staphylococcus_aureus	金黄色葡萄球菌	bacteria	机会致病菌，常见于皮肤和上呼吸道，可引起一系列疾病：包括食物中毒，皮肤感染（丘疹、蜂窝织炎、烫伤皮肤综合征和脓肿）、肺炎、脑膜炎、骨髓炎、心内膜炎、中毒性休克综合征、菌血症和败血症等。	Tong SY, Davis JS, Eichenberger E, et al. Staphylococcus aureus infections: epidemiology, pathophysiology, clinical manifestations, and management. Clin Microbiol Rev.  2015 Jul; 28(3): 603-61.	none	none	none	none	none	none
Staphylococcus_epidermidis	表皮葡萄球菌	bacteria	机会致病菌，是常见于皮肤的共生菌群，感染常与导管及其他外科植入物有关，可引发心内膜、败血症等。	Hedin G. Staphylococcus epidermidis--hospital epidemiology and the detection of methicillin resistance. Scand J Infect Dis Suppl. 1993; 90: 1-59.	none	none	none	none	none	none
Staphylococcus_lugdunensis	里昂葡萄球菌	bacteria	是常见于皮肤的共生菌群，可引发心内膜炎、关节炎、骨髓炎、菌血症、尿道感染和伤口感染等。	Mei-Dan O, Mann G, Steinbacher G, et al. Septic arthritis with Staphylococcus lugdunensis following arthroscopic ACL revision with BPTB allograft. Knee Surg Sports Traumatol Arthrosc. 2008 Jan; 16(1): 15-8.	none	none	none	none	none	none
Staphylococcus_saprophyticus	腐生葡萄球菌	bacteria	机会致病菌，是泌尿道感染的重要病原体，还可引起前列腺炎、伤口感染及菌血症。	Kuroda M, Yamashita A, Hirakawa H, et al. Whole genome sequence of Staphylococcus saprophyticus reveals the pathogenesis of uncomplicated urinary tract infection. Proc Natl Acad Sci U S A. 2005 Sep 13; 102(37): 13272-7.	none	none	none	none	none	none
Staphylococcus_haemolyticus	溶血性葡萄球菌	bacteria	机会致病菌，是院内感染的重要病原体之一，通常与插入式医疗设备有关。可引起心内膜炎、败血症、腹膜炎、尿道、伤口、骨和关节感染。	de Silva GD, Kantzanou M, Justice A, et al. The ica operon and biofilm production in coagulase-negative Staphylococci associated with carriage and disease in a neonatal intensive care unit. J Clin Microbiol.  2002 Feb; 40(2): 382-8.	none	none	none	none	none	none
Staphylococcus_caprae	山羊葡萄球菌	bacteria	属于皮肤共生菌，可引起血流、泌尿道、骨骼和关节的感染。	Shuttleworth R, Behme RJ, McNabb A, et al. Human isolates of Staphylococcus caprae: association with bone and joint infections. J Clin Microbiol. 1997 Oct; 35(10): 2537-41.	none	none	none	none	none	none
Staphylococcus_warneri	沃氏葡萄球菌	bacteria	机会致病菌，属于人体皮肤菌群一员，较少引起疾病，但可在免疫系统受损的患者中引起感染，导致椎间盘炎、尿路感染、脑膜炎、骨感染、心室分流感染和心内膜炎。	Stöllberger C, Wechsler-Fördös A, Geppert F. Staphylococcus warneri endocarditis after implantation of a lumbar disc prosthesis in an immunocompetent patient. J Infect. 2006 Jan; 52(1): e15-8.	none	none	none	none	none	none
Staphylococcus_capitis	头状葡萄球菌	bacteria	属于人头皮、面部、颈部和耳朵皮肤正常菌群，但有报道该菌可引起人工瓣膜心内膜炎。	Van Der Zwet WC, Debets-Ossenkopp YJ, Reinders E, et al. Nosocomial spread of a Staphylococcus capitis strain with heteroresistance to vancomycin in a neonatal intensive care unit.J Clin Microbiol. 2002 Jul; 40(7):2520-5.	none	none	none	none	none	none
Staphylococcus_hominis	人葡萄球菌	bacteria	机会致病菌，属于皮肤正常共生菌，但容易感染在化疗和染病的免疫低下者。	none	none	none	none	none	none	none
Staphylococcus_saccharolylicus	解糖葡萄球菌	bacteria	none	none	none	none	none	none	none	none
Staphylococcus_pasteuri	巴氏葡萄球菌	bacteria	none	none	none	none	none	none	none	none
Staphylococcus_auricularis	耳葡萄球菌	bacteria	none	none	none	none	none	none	none	none
Staphylococcus_cohnii	孔氏葡萄球菌	bacteria	none	none	none	none	none	none	none	none
